,opponent,round,GKPP,DEFP,MIDP,ATTP
0,Arsenal,7,1.57,7.43,17.14,6.14
1,Bournemouth,7,3.43,9.57,18.86,8.86
2,Brighton,9,3.67,19.11,20.67,4.44
3,Burnley,8,4.62,20.0,23.38,9.0
4,Cardiff,7,6.29,19.71,28.43,6.29
5,Chelsea,7,2.86,8.14,14.43,5.14
6,Crystal Palace,9,4.0,13.44,17.56,8.0
7,Everton,7,5.0,14.71,16.14,8.86
8,Fulham,9,4.78,22.22,26.0,8.0
9,Huddersfield,8,4.12,13.75,16.75,12.88
10,Leicester,8,2.38,10.0,14.75,8.75
11,Liverpool,9,2.22,5.33,14.11,4.33
12,Man City,8,3.12,11.62,14.12,2.88
13,Man Utd,8,2.88,8.5,19.75,6.5
14,Newcastle,7,5.57,16.86,18.0,5.57
15,Southampton,9,5.89,18.67,24.22,6.56
16,Spurs,10,1.8,7.9,10.9,6.9
17,Watford,8,3.38,14.0,15.12,8.38
18,West Ham,7,3.57,13.29,19.0,7.14
19,Wolves,8,4.38,12.38,16.88,5.0
