,team,round,GKPP,DEFP,MIDP,ATTP
0,Arsenal,9,4.22,14.11,16.89,10.78
1,Bournemouth,9,3.0,10.11,15.89,10.0
2,Brighton,7,4.14,13.14,15.57,8.86
3,Burnley,8,4.38,10.38,14.12,8.5
4,Cardiff,9,4.22,12.0,20.11,3.67
5,Chelsea,9,4.22,20.11,26.56,5.11
6,Crystal Palace,7,4.14,11.71,15.14,4.71
7,Everton,9,4.44,16.56,22.67,4.67
8,Fulham,7,1.86,5.29,13.43,11.57
9,Huddersfield,8,3.38,14.5,11.12,2.62
10,Leicester,8,3.38,13.75,16.88,6.5
11,Liverpool,7,6.14,27.57,27.14,4.86
12,Man City,8,4.12,16.38,35.0,10.0
13,Man Utd,8,3.25,10.5,22.38,5.0
14,Newcastle,9,2.22,7.44,10.22,8.89
15,Southampton,7,4.0,12.0,11.0,7.43
16,Spurs,6,3.83,13.33,23.83,5.0
17,Watford,8,3.25,15.0,15.75,6.25
18,West Ham,9,3.56,8.22,17.78,8.33
19,Wolves,8,3.5,16.12,13.75,6.0
